

[40, 0.8, 8, 'Frozen', 0.0, [0.51, 0.44, 0.56, 0.66, 0.62]]
[40, 0.8, 8, 'Simple', 0.0, [0.92, 0.95, 0.96, 0.89, 0.93]]
[40, 0.8, 8, 'Expander', 0.0, [0.98, 0.98, 0.95, 0.98, 0.96]]
[40, 0.8, 8, 'FirstCoordExpander', 0.0, [0.97, 0.99, 0.99, 0.98, 0.98]]
[40, 0.8, 8, 'Fresh', 0.0, [1.0, 1.0, 1.0, 1.0, 1.0]]

[40, 0.8, 9, 'Frozen', 0.0, [0.38, 0.31, 0.27, 0.39, 0.36]]
[40, 0.8, 9, 'Simple', 0.0, [0.95, 0.94, 0.96, 0.96, 0.92]]
[40, 0.8, 9, 'Expander', 0.0, [0.99, 0.99, 0.98, 0.99, 0.98]]
[40, 0.8, 9, 'FirstCoordExpander', 0.0, [0.99, 0.99, 1.0, 1.0, 0.98]]
[40, 0.8, 9, 'Fresh', 0.0, [0.99, 1.0, 0.99, 1.0, 1.0]]


[40, 0.5, 8, 'Frozen', 0.0, [0.65, 0.64, 0.48, 0.51, 0.52]]
[40, 0.5, 8, 'Simple', 0.0, [0.97, 0.96, 0.97, 0.96, 0.97]]
[40, 0.5, 8, 'Expander', 0.0, [0.94, 0.94, 0.98, 0.99, 0.99]]
[40, 0.5, 8, 'FirstCoordExpander', 0.0, [0.98, 0.97, 1.0, 0.98, 0.99]]
[40, 0.5, 8, 'Fresh', 0.0, [0.99, 0.98, 1.0, 0.99, 0.99]]

[40, 0.5, 9, 'Frozen', 0.0, [0.31, 0.3, 0.3, 0.26, 0.32]]
[40, 0.5, 9, 'Simple', 0.0, [0.95, 0.93, 0.89, 0.88, 0.94]]
[40, 0.5, 9, 'Expander', 0.0, [0.99, 0.97, 0.99, 0.99, 0.99]]
[40, 0.5, 9, 'FirstCoordExpander', 0.0, [1.0, 1.0, 0.98, 1.0, 0.99]]
[40, 0.5, 9, 'Fresh', 0.0, [1.0, 1.0, 0.98, 1.0, 0.99]]


[40, 0.3, 8, 'Frozen', 0.0, [0.5, 0.64, 0.58, 0.6, 0.6]]
[40, 0.3, 8, 'Simple', 0.0, [0.95, 0.98, 0.95, 0.96, 0.96]]
[40, 0.3, 8, 'Expander', 0.0, [0.99, 0.99, 0.96, 0.98, 0.98]]
[40, 0.3, 8, 'FirstCoordExpander', 0.0, [0.98, 0.99, 0.98, 0.98, 0.99]]
[40, 0.3, 8, 'Fresh', 0.0, [0.98, 1.0, 0.99, 0.99, 0.99]]

[40, 0.3, 9, 'Frozen', 0.0, [0.35, 0.31, 0.47, 0.48, 0.53]]
[40, 0.3, 9, 'Simple', 0.0, [0.95, 0.95, 0.91, 0.94, 0.94]]
[40, 0.3, 9, 'Expander', 0.0, [0.96, 0.98, 0.99, 0.97, 0.99]]
[40, 0.3, 9, 'FirstCoordExpander', 0.0, [0.98, 0.98, 0.99, 0.99, 0.98]]
[40, 0.3, 9, 'Fresh', 0.0, [1.0, 0.99, 1.0, 0.98, 0.98]]
3, 7, 'Frozen', 0.0, [0.67, 0.71, 0.72, 0.78, 0.75]]
[40, 0.3, 7, 'Simple', 0.0, [0.95, 0.97, 0.98, 0.95, 0.99]]
[40, 0.3, 7, 'Expander', 0.0, [1.0, 0.98, 1.0, 0.99, 0.98]]
[40, 0.3, 7, 'FirstCoordExpander', 0.0, [0.99, 1.0, 0.99, 0.99, 0.99]]
[40, 0.3, 7, 'Fresh', 0.0, [0.98, 1.0, 0.99, 1.0, 0.98]]

[40, 0.3, 8, 'Frozen', 0.0, [0.63, 0.51, 0.59, 0.65, 0.63]]
[40, 0.3, 8, 'Simple', 0.0, [0.97, 0.96, 0.94, 0.97, 0.96]]
[40, 0.3, 8, 'Expander', 0.0, [0.97, 0.97, 0.99, 0.97, 0.97]]
[40, 0.3, 8, 'FirstCoordExpander', 0.0, [0.98, 0.99, 0.99, 0.99, 0.99]]
[40, 0.3, 8, 'Fresh', 0.0, [1.0, 0.98, 1.0, 0.99, 0.99]]

[40, 0.3, 9, 'Frozen', 0.0, [0.48, 0.45, 0.45, 0.37, 0.43]]
[40, 0.3, 9, 'Simple', 0.0, [0.95, 0.92, 0.92, 0.93, 0.97]]
[40, 0.3, 9, 'Expander', 0.0, [0.98, 0.97, 0.99, 1.0, 0.98]]
[40, 0.3, 9, 'FirstCoordExpander', 0.0, [0.99, 1.0, 0.99, 0.99, 0.98]]
[40, 0.3, 9, 'Fresh', 0.0, [0.98, 0.97, 0.99, 0.99, 0.99]]
